#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A189D7
#Date Time: 2025-04-28 09:56:42.755
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 10.7 V Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
0.0001735603448275862,0.4733591331763356,-10.17191420013017
0.0001741903448275862,0.4716980776872056,-10.28175577063733
0.0001748203448275862,0.4713658665893796,-10.38793595546092
0.0001754503448275862,0.4713658665893796,-10.4684864404995
0.0001760803448275862,0.4707014443937276,-10.54903692553809
0.0001767103448275862,0.4700370221980756,-10.60029632510809
0.0001773403448275862,0.4690403889045977,-10.64423295331096
0.0001779703448275862,0.4683759667089457,-10.66253988172882
0.0001786003448275862,0.4693726000024237,-10.68084681014668
0.0001792303448275862,0.4697048111002496,-10.67352403877953
0.0001798603448275862,0.4693726000024237,-10.66620126741239
0.0001804903448275862,0.4693726000024237,-10.62958741057667
0.0001811203448275862,0.4680437556111197,-10.58198939669023
0.0001817503448275862,0.4637250113393818,-10.51608445438594
0.0001823803448275862,0.4667149112198157,-10.47580921186665
0.0001830103448275862,0.4657182779263377,-10.41722704092949
0.0001836403448275862,0.4660504890241637,-10.37329041272663
0.0001842703448275862,0.4604029003611219,-10.30738547042233
0.0001849003448275862,0.4600706892632959,-10.2597874565359
0.0001855303448275862,0.4604029003611219,-10.20486667128232
0.0001861603448275862,0.4604029003611219,-10.15360727171231
0.0001867903448275862,0.4597384781654699,-10.10600925782587
0.0001874203448275862,0.4604029003611219,-10.06573401530658
0.0001880503448275862,0.4607351114589479,-10.010813230053
0.0001886803448275862,0.4607351114589479,-9.963215216166565
0.0001893103448275862,0.4604029003611219,-9.919278587963701
0.0001899403448275862,0.4607351114589479,-9.871680574077265
0.0001905703448275862,0.4607351114589479,-9.827743945874401
0.0001912003448275862,0.4610673225567739,-9.783807317671537
0.0001918303448275862,0.4690403889045977,-9.791130089038681
0.0001924603448275862,0.4730269220785096,-9.93758551638156
0.0001930903448275862,0.4733591331763356,-10.08037955804087
0.0001937203448275862,0.4723624998828576,-10.20852805696589
0.0001943503448275862,0.4720302887850316,-10.31470824178948
0.0001949803448275862,0.4707014443937276,-10.41356565524592
0.0001956103448275862,0.4697048111002496,-10.49411614028451
0.0001962403448275862,0.4700370221980756,-10.5600210825888
0.0001968703448275862,0.4697048111002496,-10.61128048215881
0.0001975003448275862,0.4697048111002496,-10.65521711036167
0.0001981303448275862,0.4703692332959016,-10.66986265309596
0.0001987603448275862,0.4703692332959016,-10.67718542446311
0.0001993903448275862,0.4700370221980756,-10.66620126741239
0.0002000203448275862,0.4697048111002496,-10.64789433899453
0.0002006503448275862,0.4687081778067717,-10.61128048215881
